"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.codec.net.BCodec:102","false","false",1,1,1,1,2,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:101","true","true",2,2,2,1,2,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:104","true","false",3,2,0,4,11,4,2.66666666666667,3,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:94","false","false",1,1,1,1,2,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:93","true","true",2,2,2,1,2,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:96","true","false",3,2,0,4,11,5,3.33333333333333,4,1,0,1,0,0
"org.apache.commons.codec.net.BCodec:223","false","false",1,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:225","true","false",6,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:227","true","true",8,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:224","true","true",16,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:222","true","true",24,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:199","false","false",0,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:201","true","false",4,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:203","true","true",6,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:200","true","true",16,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:198","true","true",18,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:178","true","false",2,2,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:177","true","true",6,6,3,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:181","true","false",2,0,0,5,12,2,1.5,2,1,0.8,1,0,0
"org.apache.commons.codec.net.BCodec:180","true","true",5,1,0,5,12,2,1.5,2,1,0.8,1,0,0
"org.apache.commons.codec.net.BCodec:160","true","false",5,4,1,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:159","true","true",9,8,5,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:162","true","false",3,3,0,4,11,2,1.5,2,1,0.75,1,0,0
"org.apache.commons.codec.net.BCodec:139","true","false",4,4,1,1,1,1,1,1,1,1,1,1,0
"org.apache.commons.codec.net.BCodec:138","true","true",10,10,5,1,1,1,1,1,1,1,1,2,0
"org.apache.commons.codec.net.BCodec:142","true","false",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:141","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.BCodec:123","true","false",1,0,0,3,9,3,2.5,3,2,0.666666666666667,1,0,0
"org.apache.commons.codec.net.BCodec:88","true","false",1,0,0,4,12,5,4,4,3,0,1,0,0
