uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
ec74a324-4311-11e5-b1f3-794a8aba79a9;adrStmt;add;org.apache.commons.codec.language.bm.Rule:666;-2;0;0;0;0;0;16;7;5.0;5.0;3.0;false;CtReturnImpl;CtIfImpl
bd3403e0-42b3-11e5-b1dd-a3eb7765f1dd;adrStmt;replace;org.apache.commons.codec.digest.Sha2Crypt:424;-1;0;0;0;0;0;2;2;2.0;2.0;2.0;false;CtIfImpl;CtIfImpl
fb5d2e2a-43ce-11e5-9ee1-072e8a302e82;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:803;-1;0;0;0;0;0;4;5;4.5;5.0;4.0;false;CtIfImpl;CtIfImpl
4bf8366e-4379-11e5-93ba-a18ca314c1b5;adrStmt;replace;org.apache.commons.codec.language.ColognePhonetic:320;1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtIfImpl;CtIfImpl
d9fa6158-431f-11e5-b36d-491046b78f40;adrStmt;add;org.apache.commons.codec.binary.Base32:394;0;0;0;0;0;0;10;23;12.047619047619047;12.0;2.0;false;CtUnaryOperatorImpl;CtAssignmentImpl
cdf79419-432a-11e5-9f0f-e9e20b5180f9;adrStmt;replace;org.apache.commons.codec.binary.BaseNCodec:464;-1;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtForImpl;CtIfImpl
06115c9b-434a-11e5-a32c-f36d31315775;adrStmt;replace;org.apache.commons.codec.digest.DigestUtils:470;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtReturnImpl;CtReturnImpl
c862472e-42ac-11e5-b2f3-e9f3fabee947;adrStmt;delete;org.apache.commons.codec.language.DoubleMetaphone:204;-1;0;0;0;0;0;3;2;1.5;2.0;1.0;false;CtThrowImpl;NA
180a9298-430d-11e5-b32a-87f767b790e6;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:599;-2;0;0;0;0;0;8;5;3.5;4.0;2.0;false;CtIfImpl;CtIfImpl
2326622e-42b5-11e5-989b-03e58ccf5102;adrStmt;delete;org.apache.commons.codec.language.ColognePhonetic:422;0;0;0;0;0;0;1;1;1.0;1.0;1.0;true;CtInvocationImpl;NA
