"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.collections4.map.AbstractHashedMap:854","false","false",0,0,0,140,0,2,1.5,2,1,0.285714285714286,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:855","true","false",0,0,0,140,0,2,1.5,2,1,0.285714285714286,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:856","true","false",0,0,0,140,0,2,1.5,2,1,0.285714285714286,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:853","true","true",0,0,0,140,0,2,1.5,2,1,0.285714285714286,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:858","true","false",0,0,0,143,30,2,1.5,2,1,0.27972027972028,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:864","true","false",0,0,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:863","true","true",0,0,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:867","true","false",0,0,0,8,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:866","true","true",0,0,0,8,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:869","false","false",0,0,0,32,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:870","true","true",0,0,0,32,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:871","true","false",0,0,0,32,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:843","true","false",0,0,0,124,0,3,2,2,1,0.0645161290322581,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:876","true","false",0,0,0,193,49,6,3.5,4,1,0.10880829015544,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:848","true","true",0,0,0,8,0,1,1,1,1,1,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:890","false","false",0,0,0,100,25,6,3.5,4,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1085","false","false",0,0,0,160,12,4,2.5,3,1,0.0125,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1084","true","true",0,0,0,160,12,4,2.5,3,1,0.0125,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1087","true","false",0,0,0,269,307,6,3.5,4,1,0.00743494423791822,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1092","true","false",0,0,0,266,350,6,3.5,4,1,0.0112781954887218,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1097","true","false",0,0,0,66,138,5,3,3,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1098","true","true",0,0,0,66,138,5,3,3,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1099","true","false",0,0,0,66,138,5,3,3,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1105","true","false",0,0,0,12,0,3,2,2,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1104","true","true",0,0,0,12,0,3,2,2,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1110","false","false",0,0,0,110,0,3,2,2,1,0.0545454545454545,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1112","true","true",0,0,0,110,0,3,2,2,1,0.0545454545454545,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1113","true","true",0,0,0,110,0,3,2,2,1,0.0545454545454545,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1111","true","false",0,0,0,110,0,3,2,2,1,0.0545454545454545,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1118","true","true",0,0,0,86,0,3,2,2,1,0.0697674418604651,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1118","true","true",0,0,0,86,0,3,2,2,1,0.0697674418604651,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1119","true","true",0,0,0,86,0,3,2,2,1,0.0697674418604651,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1119","true","true",0,0,0,86,0,3,2,2,1,0.0697674418604651,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1118","true","false",0,0,0,86,0,3,2,2,1,0.0697674418604651,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1124","true","true",0,0,0,86,0,1,1,1,1,0.0930232558139535,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1124","true","true",0,0,0,86,0,1,1,1,1,0.0930232558139535,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1124","true","true",0,0,0,86,0,1,1,1,1,0.0930232558139535,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1124","true","true",0,0,0,86,0,1,1,1,1,0.0930232558139535,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1124","true","false",0,0,0,86,0,1,1,1,1,0.0930232558139535,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1151","true","true",0,0,0,149,47,8,5,5,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1159","true","false",0,0,0,105,47,6,3.5,4,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1201","true","false",0,0,0,1,0,1,1,1,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1200","true","true",0,0,0,1,0,1,1,1,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1203","true","false",0,0,0,1,0,1,1,1,1,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1183","true","false",0,0,0,45,10,4,3,3,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1164","true","true",0,0,0,12,0,2,2,2,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1163","true","true",0,0,0,12,0,2,2,2,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1166","true","false",0,0,0,141,47,7,4.5,5,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1168","true","true",0,0,0,2,0,2,2,2,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1167","true","true",0,0,0,2,0,2,2,2,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1170","false","false",0,0,0,141,47,7,4.5,5,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1171","true","false",0,0,0,141,47,7,4.5,5,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1172","true","false",0,0,0,141,47,7,4.5,5,2,0,0,0,0
"org.apache.commons.collections4.map.AbstractHashedMap:1174","true","true",0,0,0,114,47,7,4.5,5,2,0,0,0,0
