"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.io.monitor.FileAlterationMonitor:67","true","true",9,6,2,3,12,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:66","true","true",17,9,3,3,12,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:65","true","true",25,14,3,3,12,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:120","false","false",0,0,0,1,8,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:78","true","false",8,3,0,4,13,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:97","true","true",1,1,0,3,12,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:96","true","true",12,7,1,3,12,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:108","true","true",10,3,1,1,8,1,1,1,1,1,0,1,1
"org.apache.commons.io.monitor.FileAlterationMonitor:107","true","true",19,7,2,1,8,1,1,1,1,1,0,1,1
"org.apache.commons.io.monitor.FileAlterationMonitor:182","true","true",9,3,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:181","true","true",17,6,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:185","true","true",1,1,1,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:184","true","true",13,6,6,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:188","true","true",11,2,2,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:187","true","true",22,8,7,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:180","true","true",66,28,16,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:87","true","true",1,1,1,1,2,1,1,1,1,0,0,1,0
"org.apache.commons.io.monitor.FileAlterationMonitor:130","true","true",15,12,1,1,2,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:129","true","true",25,21,4,1,2,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:133","true","true",8,8,8,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:132","true","true",19,17,16,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:135","true","true",5,5,1,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:137","true","true",8,6,3,1,2,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:139","true","true",5,3,1,1,2,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:136","true","true",24,19,7,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:141","true","true",11,8,0,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:150","true","true",9,6,5,2,4,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:163","true","true",18,11,1,1,2,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:162","true","true",27,20,4,1,2,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:165","true","true",8,8,7,2,4,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:167","true","true",12,2,2,2,4,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:166","true","true",28,15,11,2,4,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:172","true","true",11,11,10,2,4,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationMonitor:171","true","true",20,19,17,2,4,2,2,2,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:209","true","true",1,0,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:223","false","false",0,0,0,1,3,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:429","true","false",0,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:431","true","true",0,0,0,6,69,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:430","true","true",11,5,1,6,69,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:434","true","true",1,1,0,5,82,5,4,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:433","true","true",10,3,0,5,82,5,4,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:437","true","true",8,3,1,4,65,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:436","true","true",19,6,2,4,65,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:439","true","false",3,1,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:265","false","false",0,0,0,1,6,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:449","true","false",2,0,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:450","true","true",13,13,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:451","true","true",11,11,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:452","true","true",10,10,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:453","true","true",13,13,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:455","true","true",10,10,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:456","true","true",14,14,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:454","true","true",33,29,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:458","true","true",12,12,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:459","true","true",13,13,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:460","true","true",13,13,1,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:461","true","false",7,3,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:358","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:359","true","true",6,6,1,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:360","true","false",2,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:361","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:363","true","true",3,3,0,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:362","true","true",14,6,1,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:365","true","true",5,2,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:366","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:243","true","true",2,1,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:242","true","true",13,7,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:298","true","true",8,7,2,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:297","true","true",15,11,4,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:302","true","false",2,0,0,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:304","true","true",8,3,0,5,82,2,1.5,2,1,0,0,0,0
