uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
80345ad2-46f3-11e5-987b-81aa4e6cfd55;adrStmt;replace;org.apache.commons.io.DirectoryWalker:360;-1;0;0;0;0;0;2;2;2.0;2.0;2.0;false;CtInvocationImpl;CtIfImpl
dd1bbd26-46dc-11e5-b5e8-df701497f736;adrStmt;replace;org.apache.commons.io.input.ClassLoaderObjectInputStream:94;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtForImpl;CtIfImpl
c5d35df2-46d5-11e5-ba75-8d4865b6ca85;adrStmt;replace;org.apache.commons.io.FileUtils:2713;-1;0;0;0;0;0;6;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
1e33e70f-46de-11e5-9580-ef7cb62d4fbb;adrStmt;replace;org.apache.commons.io.IOUtils:1886;-1;0;0;0;0;0;3;1;1.0;1.0;1.0;false;CtInvocationImpl;CtInvocationImpl
3e0b1e41-46bc-11e5-9781-672d519a296f;adrStmt;replace;org.apache.commons.io.input.ProxyInputStream:157;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtInvocationImpl;CtIfImpl
b0c35082-46d0-11e5-972a-2f7d4f8d3f20;adrStmt;replace;org.apache.commons.io.input.BOMInputStream:249;-1;0;0;0;0;0;23;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
8900d213-46e7-11e5-be00-a9aa9362194c;adrStmt;replace;org.apache.commons.io.FileUtils:845;-1;0;0;0;0;0;8;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
3fde7903-46ce-11e5-ba9f-a340a75f0357;adrStmt;replace;org.apache.commons.io.FilenameUtils:494;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
67837768-46fc-11e5-b338-47df10c8d4c6;adrStmt;replace;org.apache.commons.io.comparator.SizeFileComparator:113;-1;0;0;0;0;0;10;3;2.0;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
271b480d-46cc-11e5-9865-775eacbaf97b;adrStmt;replace;org.apache.commons.io.IOUtils:1490;-1;0;0;0;0;0;4;2;1.5;2.0;1.0;false;CtInvocationImpl;CtInvocationImpl
ecddf655-46c1-11e5-850a-2bbb4acd9305;adrStmt;add;org.apache.commons.io.output.ByteArrayOutputStream:324;0;0;0;0;0;0;61;5;3.0;3.0;1.0;false;CtForEachImpl;CtIfImpl
70a11ef3-46f4-11e5-942d-8f27e1dfb181;adrStmt;replace;org.apache.commons.io.EndianUtils:332;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtInvocationImpl;CtTryImpl
c53b638c-46d5-11e5-8a00-5b2249e6552a;adrStmt;replace;org.apache.commons.io.input.NullReader:218;-2;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtIfImpl;CtInvocationImpl
