"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.lang3.mutable.MutableBoolean:148","true","false",2,1,1,3,29,2,1.5,2,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:174","true","false",0,0,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:173","true","true",3,3,1,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:176","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:138","true","false",1,0,0,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:128","true","false",4,2,1,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:199","true","false",1,0,0,2,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:200","true","false",0,0,0,2,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:186","true","true",1,0,0,1,5,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:186","true","true",1,0,0,1,5,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:186","true","false",1,0,0,1,5,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:79","false","false",0,0,0,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:159","false","false",0,0,0,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:211","true","false",1,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:97","true","true",1,1,0,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:106","true","true",2,2,1,1,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:88","true","true",2,2,0,2,18,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableBoolean:117","true","true",5,1,0,2,14,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableByte:247","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableByte:246","true","true",3,3,0,1,10,1,1,1,1,1,1,0,0
