uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
72695696-2c06-11e5-bebe-a7de80262e43;adrStmt;delete;org.apache.commons.lang3.ArrayUtils:1718;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtLocalVariableImpl;NA
db9b9343-2c2b-11e5-a210-a19a5af4c752;adrStmt;replace;org.apache.commons.lang3.ArrayUtils:1686;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
dd9ebd46-2e2a-11e5-8175-197548945d63;adrStmt;replace;org.apache.commons.lang3.LocaleUtils:198;-1;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtIfImpl;CtInvocationImpl
5105aae0-2e08-11e5-a084-fd65e0791dcc;adrStmt;delete;org.apache.commons.lang3.text.StrBuilder:207;-2;0;0;0;0;0;3;1;1.0;1.0;1.0;false;CtLocalVariableImpl;NA
e7faccd2-2c05-11e5-aaf5-1dbdd4f440a5;adrStmt;replace;org.apache.commons.lang3.exception.ExceptionUtils:203;-1;0;0;0;0;0;22;7;4.5;5.0;2.0;false;CtTryImpl;CtIfImpl
649e34ee-2c00-11e5-9cc2-3f35e610a75a;adrStmt;replace;org.apache.commons.lang3.Conversion:1521;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtAssignmentImpl;CtOperatorAssignmentImpl
6a28637e-2c22-11e5-a353-4deda9b22767;adrStmt;replace;org.apache.commons.lang3.text.StrBuilder:2356;-1;0;0;0;0;0;10;2;1.5;2.0;1.0;false;CtIfImpl;CtIfImpl
335409bd-2e13-11e5-b7ff-091f0e86f54a;adrStmt;delete;org.apache.commons.lang3.text.StrBuilder:1607;0;1;1;0;0;0;1;1;1.0;1.0;1.0;true;CtInvocationImpl;NA
c7100449-2c1c-11e5-a83b-dda02bf2c67a;adrStmt;replace;org.apache.commons.lang3.math.Fraction:179;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtIfImpl;CtIfImpl
75a4a345-2e0b-11e5-bd6e-a9d755fbc7bc;adrStmt;delete;org.apache.commons.lang3.text.StrBuilder:1894;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtWhileImpl;NA
b997ea9b-2e15-11e5-9444-fb574f51ed2c;adrStmt;replace;org.apache.commons.lang3.math.IEEE754rUtils:51;0;0;0;0;0;0;2;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
30ac27aa-2e09-11e5-ab7e-51353d69a95b;adrStmt;replace;org.apache.commons.lang3.builder.HashCodeBuilder:176;-2;0;0;0;0;0;8;11;7.0;7.0;3.0;false;CtTryImpl;CtIfImpl
8e80dbeb-2e57-11e5-89f9-51b715363523;adrStmt;add;org.apache.commons.lang3.StringUtils:1222;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtIfImpl;CtIfImpl
1277b2d4-2bfe-11e5-9093-832edf987944;adrStmt;replace;org.apache.commons.lang3.ArrayUtils:2234;-1;0;0;0;0;0;5;3;2.0;2.0;1.0;false;CtForImpl;CtIfImpl
37ba63ac-2e33-11e5-a1cd-93efd3f1ddb5;adrStmt;replace;org.apache.commons.lang3.RandomUtils:111;1;1;2;0;0;0;5;1;1.0;1.0;1.0;false;CtInvocationImpl;CtInvocationImpl
eba4d319-2c0e-11e5-bc10-3374b0991418;adrStmt;replace;org.apache.commons.lang3.concurrent.LazyInitializer:108;-2;0;0;0;0;0;3;1;1.0;1.0;1.0;false;CtReturnImpl;CtIfImpl
6dec8902-2e1f-11e5-bf20-7bd58450143a;adrStmt;replace;org.apache.commons.lang3.builder.ToStringStyle:501;-1;0;0;0;0;0;111;13;6.571428571428571;6.0;3.0;false;CtIfImpl;CtInvocationImpl
822ebce7-2e15-11e5-a558-975229c42d34;adrStmt;replace;org.apache.commons.lang3.StringUtils:2342;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtIfImpl
76367666-2e20-11e5-971e-2343589ef31f;adrStmt;add;org.apache.commons.lang3.ArrayUtils:756;-2;0;0;0;0;0;3;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
aad3b91b-2e0e-11e5-b9d7-016468fa58c0;adrStmt;replace;org.apache.commons.lang3.exception.ExceptionUtils:562;1;0;0;0;0;0;3;3;2.5;3.0;2.0;false;CtInvocationImpl;CtInvocationImpl
406388a3-2e0f-11e5-84d9-c5f83d12bad8;adrStmt;delete;org.apache.commons.lang3.concurrent.ConcurrentUtils:279;-1;0;0;0;0;0;3;2;1.5;2.0;1.0;false;CtIfImpl;NA
d1f3a61d-2c36-11e5-ad21-69baba302a6a;adrStmt;replace;org.apache.commons.lang3.text.WordUtils:193;-1;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtIfImpl;CtIfImpl
27c14e7a-2e66-11e5-adfa-03cc1676f641;adrStmt;replace;org.apache.commons.lang3.time.FastDatePrinter:341;-1;0;0;0;0;0;55;11;8.0;9.0;4.0;false;CtInvocationImpl;CtInvocationImpl
976d6382-2c12-11e5-ad7c-8b39c5957d66;adrStmt;replace;org.apache.commons.lang3.exception.ExceptionUtils:675;-1;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
9976a8a7-2c0f-11e5-9661-a7ab3b326117;adrStmt;replace;org.apache.commons.lang3.builder.ToStringStyle:1340;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtInvocationImpl;CtInvocationImpl
38247c61-2e4e-11e5-9bf4-0143643b7dd1;adrStmt;replace;org.apache.commons.lang3.ArrayUtils:1788;-2;0;0;0;0;0;6;4;2.5;3.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
60dad670-2e1a-11e5-98ab-7d25e50e8b8d;adrStmt;add;org.apache.commons.lang3.builder.ToStringStyle:1055;-2;0;0;0;0;0;12;9;5.4;5.0;3.0;false;CtForImpl;CtIfImpl
bf19b15c-2e33-11e5-8faa-ab47d4ee7243;adrStmt;replace;org.apache.commons.lang3.text.translate.UnicodeEscaper:121;-1;0;0;0;0;0;7;6;5.0;6.0;4.0;false;CtIfImpl;CtInvocationImpl
61cb1b9c-2e45-11e5-a683-e9a23082a63b;adrStmt;replace;org.apache.commons.lang3.CharSetUtils:243;-1;0;0;0;0;0;10;2;2.0;2.0;2.0;false;CtForEachImpl;CtReturnImpl
