"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"com.google.gson.internal.bind.ArrayTypeAdapter:42","false","false",0,0,0,396,656,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:44","false","false",0,0,0,354,586,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:43","true","true",0,0,0,354,586,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:47","true","false",0,0,0,396,656,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:48","false","false",0,0,0,396,656,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:49","true","false",0,0,0,396,656,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:65","true","true",17,5,0,1,1,7,7,7,7,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:66","true","false",3,1,0,1,1,7,7,7,7,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:64","true","true",21,7,0,1,1,7,7,7,7,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:69","false","false",1,0,0,29,55,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:70","true","true",26,12,2,29,55,17,7,6,1,0,0,1,1
"com.google.gson.internal.bind.ArrayTypeAdapter:72","false","false",1,0,0,27,51,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:73","true","true",1,1,0,27,51,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:71","true","true",20,9,0,27,51,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:75","true","true",25,10,0,29,55,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:76","true","false",1,0,0,29,55,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:78","true","true",31,11,0,25,49,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:77","true","true",59,16,1,25,49,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:80","true","false",13,0,0,29,55,17,7,6,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:86","true","true",6,6,0,9,10,8,7.5,8,7,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:87","false","false",1,1,0,9,10,8,7.5,8,7,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:85","true","true",20,14,4,9,10,8,7.5,8,7,0,0,2,0
"com.google.gson.internal.bind.ArrayTypeAdapter:90","true","true",9,9,0,63,106,2985,1470.50395256917,1473,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:92","false","false",1,0,0,51,84,2985,1470.50395256917,1473,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:93","true","true",20,5,1,51,84,2985,1470.50395256917,1473,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:91","true","true",56,9,1,51,84,2985,1470.50395256917,1473,1,0,0,0,0
"com.google.gson.internal.bind.ArrayTypeAdapter:95","true","true",11,11,0,63,106,2985,1470.50395256917,1473,1,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:74","true","true",0,0,0,2,1,5,4,5,3,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:75","false","false",0,0,0,2,1,5,4,5,3,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:73","true","true",0,0,0,2,1,5,4,5,3,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:78","false","false",0,0,0,48,98,17,7.88888888888889,7,3,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:79","true","true",0,0,0,48,98,17,7.88888888888889,7,3,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:81","false","false",0,0,0,45,95,12,6.75,7,3,0,0,0,0
