"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.eclipse.jgit.errors.AmbiguousObjectException:86","true","false",2,1,0,1,10,1,1,1,1,0,0,0,0
"org.eclipse.jgit.errors.AmbiguousObjectException:81","false","false",0,0,0,1,10,1,1,1,1,0,0,0,0
"org.eclipse.jgit.errors.CheckoutConflictException:78","true","false",1,0,0,6,24,4,3.5,4,3,0,0,0,0
"org.eclipse.jgit.errors.CheckoutConflictException:80","true","true",4,4,4,6,24,4,3.5,4,3,0,0,0,0
"org.eclipse.jgit.errors.CheckoutConflictException:81","true","true",4,4,4,6,24,4,3.5,4,3,0,0,0,0
"org.eclipse.jgit.errors.CheckoutConflictException:79","true","true",10,10,9,6,24,4,3.5,4,3,0,0,0,0
"org.eclipse.jgit.errors.CheckoutConflictException:83","true","false",4,2,2,6,24,4,3.5,4,3,0,0,0,0
"org.eclipse.jgit.errors.InvalidObjectIdException:72","true","false",2,0,0,14,38,9,6.75,7,5,0,0,0,0
"org.eclipse.jgit.errors.InvalidObjectIdException:71","true","true",8,3,3,14,38,9,6.75,7,5,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:99","true","false",1,1,0,3,34,1,1,1,1,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:82","true","true",4,4,1,3,34,2,2,2,2,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:82","true","false",4,4,1,3,34,2,2,2,2,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:81","true","true",4,4,1,3,34,2,2,2,2,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:83","true","false",0,0,0,3,34,2,2,2,2,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:76","true","false",2,1,1,4,36,3,2,3,1,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:94","true","true",2,2,0,3,34,3,3,3,3,0,0,0,0
"org.eclipse.jgit.errors.LargeObjectException:93","true","true",6,3,1,3,34,3,3,3,3,0,0,0,0
"org.eclipse.jgit.errors.MissingBundlePrerequisiteException:60","true","false",2,0,0,1,9,9,9,9,9,0,0,0,0
"org.eclipse.jgit.errors.MissingBundlePrerequisiteException:61","true","true",2,1,1,1,9,9,9,9,9,0,0,0,0
